vin,make,model,year,base_msrp_high
1G6DP5E39C0107021,Cadillac,CTS Sedan,2012,48290
1G6DP5E39D0101219,Cadillac,CTS Sedan,2013,48290
1G6DP5E39D0162201,Cadillac,CTS Sedan,2013,48290
1G6DP5E39D0163610,Cadillac,CTS Sedan,2013,48290
1G6DP5E39D0180052,Cadillac,CTS Sedan,2013,48290
1G6DP5E3XC0112356,Cadillac,CTS Sedan,2012,48290
1G6DP5E3XC0122465,Cadillac,CTS Sedan,2012,48290
1G6DP5E3XC0138651,Cadillac,CTS Sedan,2012,48290
1G6DP5E3XC0153778,Cadillac,CTS Sedan,2012,48290
1G6DP5E3XD0117249,Cadillac,CTS Sedan,2013,48290
1G6DP5E3XD0149604,Cadillac,CTS Sedan,2013,48290
1G6DP5E3XD0177967,Cadillac,CTS Sedan,2013,48290
1G6DP5ED0B0100238,Cadillac,CTS Sedan,2011,47800
1G6DP5ED0B0143879,Cadillac,CTS Sedan,2011,47800
1G6DP5ED0B0159807,Cadillac,CTS Sedan,2011,47800
1G6DP5ED1B0112835,Cadillac,CTS Sedan,2011,47800
1G6DP5ED1B0148556,Cadillac,CTS Sedan,2011,47800
1G6DP5ED1B0155331,Cadillac,CTS Sedan,2011,47800
1G6DP5ED2B0155337,Cadillac,CTS Sedan,2011,47800
1G6DP5ED2B0156410,Cadillac,CTS Sedan,2011,47800
1G6DP5ED3B0169635,Cadillac,CTS Sedan,2011,47800
1G6DP5ED4B0154741,Cadillac,CTS Sedan,2011,47800
1G6DP5ED4B0155291,Cadillac,CTS Sedan,2011,47800
1G6DP5ED4B0169899,Cadillac,CTS Sedan,2011,47800
1G6DP5ED5B0138595,Cadillac,CTS Sedan,2011,47800
1G6DP5ED5B0140914,Cadillac,CTS Sedan,2011,47800
1G6DP5ED5B0151492,Cadillac,CTS Sedan,2011,47800
1G6DP5ED5B0165442,Cadillac,CTS Sedan,2011,47800
1G6DP5ED5B0171368,Cadillac,CTS Sedan,2011,47800
1G6DP5ED6B0137388,Cadillac,CTS Sedan,2011,47800
1G6DP5ED6B0139223,Cadillac,CTS Sedan,2011,47800
1G6DP5ED7B0142843,Cadillac,CTS Sedan,2011,47800
1G6DP5ED7B0158881,Cadillac,CTS Sedan,2011,47800
1G6DP5ED7B0160548,Cadillac,CTS Sedan,2011,47800
1G6DP5ED9B0115983,Cadillac,CTS Sedan,2011,47800
1G6DP5ED9B0153987,Cadillac,CTS Sedan,2011,47800
1G6DP5ED9B0166612,Cadillac,CTS Sedan,2011,47800
1G6DP5EDXB0127074,Cadillac,CTS Sedan,2011,47800
1G6DP5EDXB0129813,Cadillac,CTS Sedan,2011,47800
1G6DP5EDXB0136339,Cadillac,CTS Sedan,2011,47800
1G6DP5EDXB0145039,Cadillac,CTS Sedan,2011,47800
1G6DP5EDXB0147339,Cadillac,CTS Sedan,2011,47800
